#OTU ID,19.0,20.0,19.0 C,20.0 C
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Ambiguous_taxa,0,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides,0,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidetes BD2-2;Bacteroidetes bacterium GWF2_49_14;Bacteroidetes bacterium GWF2_49_14,0,0,4,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidetes BD2-2;uncultured bacterium;uncultured bacterium,0,0,0,4
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidetes BD2-2;uncultured prokaryote;uncultured prokaryote,0,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidetes BD2-2,0,0,0,3
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidetes vadinHA17,0,58,0,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;LKC2.127-25;uncultured bacterium;uncultured bacterium,0,225,0,34
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Marinilabiliaceae;uncultured;Ambiguous_taxa,0,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Marinilabiliaceae;uncultured;uncultured bacterium,0,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Paludibacteraceae;Paludibacter;uncultured bacterium,0,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prolixibacteraceae;WCHB1-32;uncultured bacterium,2,131,0,70
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prolixibacteraceae;uncultured;uncultured bacterium,0,0,6,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prolixibacteraceae;uncultured,0,33,0,13
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;uncultured;Ambiguous_taxa,0,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;SB-5;uncultured bacterium;uncultured bacterium,0,0,0,16
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidetes VC2.1 Bac22;Ambiguous_taxa;Ambiguous_taxa;Ambiguous_taxa,0,0,0,5
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidetes VC2.1 Bac22;uncultured bacterium;uncultured bacterium;uncultured bacterium,0,0,2,19
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidetes VC2.1 Bac22,0,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Chitinophagales;Chitinophagaceae;Dinghuibacter;uncultured bacterium,239,35,56,0
Bacteria;Bacteroidetes;Bacteroidia;Chitinophagales;Chitinophagaceae;Ferruginibacter;uncultured bacterium,20,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Chitinophagales;Chitinophagaceae;Ferruginibacter,0,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Chitinophagales;Chitinophagaceae;Sediminibacterium;uncultured bacterium,0,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Chitinophagales;Chitinophagaceae;Sediminibacterium,694,476,32,16
Bacteria;Bacteroidetes;Bacteroidia;Chitinophagales;Chitinophagaceae;Terrimonas,0,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Chitinophagales;Chitinophagaceae;uncultured;metagenome,0,141,5,24
Bacteria;Bacteroidetes;Bacteroidia;Chitinophagales;Chitinophagaceae,0,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Chitinophagales;Saprospiraceae;Candidatus Aquirestis;uncultured bacterium,0,44,413,381
Bacteria;Bacteroidetes;Bacteroidia;Chitinophagales;Saprospiraceae;Haliscomenobacter;uncultured bacterium,0,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Chitinophagales;Saprospiraceae;uncultured,0,0,19,0
Bacteria;Bacteroidetes;Bacteroidia;Chitinophagales;Saprospiraceae,0,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Chitinophagales;uncultured,0,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Cytophagales;Cyclobacteriaceae;Algoriphagus;uncultured bacterium,150,6,5,0
Bacteria;Bacteroidetes;Bacteroidia;Cytophagales;Spirosomaceae;Pseudarcicella;uncultured bacterium,210,35,22,0
Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Crocinitomicaceae;Crocinitomix;uncultured bacterium,21,53,57,11
Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Crocinitomicaceae;Fluviicola;Ambiguous_taxa,31,754,0,101
Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Crocinitomicaceae;Fluviicola;uncultured bacterium,0,12,0,0
Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Crocinitomicaceae;Fluviicola,19,59,11,9
Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Cryomorphaceae;uncultured;Ambiguous_taxa,16,37,0,0
Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Cryomorphaceae;uncultured;uncultured Cryomorphaceae bacterium,351,52,43,0
Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Cryomorphaceae;uncultured;uncultured bacterium,0,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Cryomorphaceae;uncultured,5,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Flavobacterium;Ambiguous_taxa,42,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Flavobacterium,210,69,58,43
Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Flavobacteriaceae;uncultured;uncultured bacterium,0,25,0,39
Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;NS9 marine group;uncultured Bacteroidetes bacterium;uncultured Bacteroidetes bacterium,0,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;NS9 marine group,0,0,0,0
